CAV Percentage,ZOV Percent,Facility Type,Intervehicle Gap,Max Platoon,CAV Interplatoon Gap,Base Capacity,ADJ CAF
90,50,Merge,0.71,10,2,2200,1.48
100,50,Merge,0.71,10,2,2200,1.56
0,60,Freeway,0.71,10,2,2400,1.05
10,60,Freeway,0.71,10,2,2400,1.06
20,60,Freeway,0.71,10,2,2400,1.07
30,60,Freeway,0.71,10,2,2400,1.1
40,60,Freeway,0.71,10,2,2400,1.12
50,60,Freeway,0.71,10,2,2400,1.16
60,60,Freeway,0.71,10,2,2400,1.19
70,60,Freeway,0.71,10,2,2400,1.24
80,60,Freeway,0.71,10,2,2400,1.28
90,60,Freeway,0.71,10,2,2400,1.35
100,60,Freeway,0.71,10,2,2400,1.42
0,60,Freeway,0.71,10,2,2100,1.05
10,60,Freeway,0.71,10,2,2100,1.06
20,60,Freeway,0.71,10,2,2100,1.07
30,60,Freeway,0.71,10,2,2100,1.11
40,60,Freeway,0.71,10,2,2100,1.16
50,60,Freeway,0.71,10,2,2100,1.24
60,60,Freeway,0.71,10,2,2100,1.31
70,60,Freeway,0.71,10,2,2100,1.38
80,60,Freeway,0.71,10,2,2100,1.44
90,60,Freeway,0.71,10,2,2100,1.52
100,60,Freeway,0.71,10,2,2100,1.61
0,60,Freeway,0.71,10,2,1800,1.05
10,60,Freeway,0.71,10,2,1800,1.13
20,60,Freeway,0.71,10,2,1800,1.21
30,60,Freeway,0.71,10,2,1800,1.27
40,60,Freeway,0.71,10,2,1800,1.33
50,60,Freeway,0.71,10,2,1800,1.41
60,60,Freeway,0.71,10,2,1800,1.47
70,60,Freeway,0.71,10,2,1800,1.58
80,60,Freeway,0.71,10,2,1800,1.68
90,60,Freeway,0.71,10,2,1800,1.8
100,60,Freeway,0.71,10,2,1800,1.91
0,60,Diverge,0.71,10,2,2400,1.05
10,60,Diverge,0.71,10,2,2400,1.06
20,60,Diverge,0.71,10,2,2400,1.07
30,60,Diverge,0.71,10,2,2400,1.1
40,60,Diverge,0.71,10,2,2400,1.12
50,60,Diverge,0.71,10,2,2400,1.16
60,60,Diverge,0.71,10,2,2400,1.19
70,60,Diverge,0.71,10,2,2400,1.24
80,60,Diverge,0.71,10,2,2400,1.28
90,60,Diverge,0.71,10,2,2400,1.35
100,60,Diverge,0.71,10,2,2400,1.42
0,60,Diverge,0.71,10,2,2100,1.05
10,60,Diverge,0.71,10,2,2100,1.06
20,60,Diverge,0.71,10,2,2100,1.07
30,60,Diverge,0.71,10,2,2100,1.11
40,60,Diverge,0.71,10,2,2100,1.16
50,60,Diverge,0.71,10,2,2100,1.24
60,60,Diverge,0.71,10,2,2100,1.31
70,60,Diverge,0.71,10,2,2100,1.38
